h3_id,percentile,cutoff,access_total_jobs,access_low_wage_jobs,access_middle_wage_jobs,access_high_wage_jobs,lon,lat,network_snapshot,gtfs_snapshot,jobs_year,departure_datetime
88489e345dfffff,50,45,23744,2486,3739,17519,-97.78622979323109,30.260412520438607,2026-06-25,2026-06-25,2023,2026-07-13 07:00:00
88489eadb7fffff,50,45,34757,4488,8894,21375,-97.75167019086405,30.199799253681068,2026-06-25,2026-06-25,2023,2026-07-13 07:00:00
88489e3401fffff,50,45,202256,18777,30936,152543,-97.76681177354348,30.27655290354602,2026-06-25,2026-06-25,2023,2026-07-13 07:00:00
88489e2765fffff,50,45,20224,1411,4607,14206,-97.67064725469002,30.37258839791054,2026-06-25,2026-06-25,2023,2026-07-13 07:00:00
88489e2737fffff,50,45,28656,2186,5686,20784,-97.69400576567143,30.418128379158347,2026-06-25,2026-06-25,2023,2026-07-13 07:00:00
88489e2709fffff,50,45,38004,4384,8863,24757,-97.70687015315686,30.379071590894792,2026-06-25,2026-06-25,2023,2026-07-13 07:00:00
88489e22d5fffff,50,45,5677,643,1299,3735,-97.67792128908836,30.32599606318891,2026-06-25,2026-06-25,2023,2026-07-13 07:00:00
88489e26dbfffff,50,45,1623,422,390,811,-97.84826116387858,30.428220324185464,2026-06-25,2026-06-25,2023,2026-07-13 07:00:00
884898c943fffff,50,45,191,67,33,91,-97.85447210292024,30.366188125285863,2026-06-25,2026-06-25,2023,2026-07-13 07:00:00
88489eacd1fffff,50,45,745,179,263,303,-97.85626379365355,30.15741056370344,2026-06-25,2026-06-25,2023,2026-07-13 07:00:00
884898d9e5fffff,50,45,2616,250,387,1979,-97.87808592058478,30.257136288768734,2026-06-25,2026-06-25,2023,2026-07-13 07:00:00
88489e26adfffff,50,45,1194,214,305,675,-97.78232577149171,30.43825464251128,2026-06-25,2026-06-25,2023,2026-07-13 07:00:00
884898c915fffff,50,45,2457,138,308,2011,-97.85647710579714,30.39702512883234,2026-06-25,2026-06-25,2023,2026-07-13 07:00:00
88489eaca3fffff,50,45,7523,1400,2235,3888,-97.81186678064924,30.182202339833815,2026-06-25,2026-06-25,2023,2026-07-13 07:00:00
88489e224bfffff,50,45,11,0,2,9,-97.63783279176778,30.257844157726375,2026-06-25,2026-06-25,2023,2026-07-13 07:00:00
88489e3721fffff,50,45,11491,1928,2828,6735,-97.70265022269533,30.232429097978137,2026-06-25,2026-06-25,2023,2026-07-13 07:00:00
88489e2651fffff,50,45,191,43,36,112,-97.79878469843553,30.37588030902455,2026-06-25,2026-06-25,2023,2026-07-13 07:00:00
88489e221dfffff,50,45,447,27,113,307,-97.6397767583006,30.28867808380808,2026-06-25,2026-06-25,2023,2026-07-13 07:00:00
884898d95bfffff,50,45,1,0,0,1,-97.90568803253738,30.209747447039767,2026-06-25,2026-06-25,2023,2026-07-13 07:00:00
88489e2623fffff,50,45,32570,3633,5297,23640,-97.754305642259,30.40060659031721,2026-06-25,2026-06-25,2023,2026-07-13 07:00:00
88489e36c5fffff,50,45,438,35,65,338,-97.83165408296428,30.251070619756703,2026-06-25,2026-06-25,2023,2026-07-13 07:00:00
88489e3291fffff,50,45,66,1,3,62,-97.70990403142063,30.185806936310986,2026-06-25,2026-06-25,2023,2026-07-13 07:00:00
884898d92dfffff,50,45,12396,2074,3040,7282,-97.83986134668598,30.219855596524592,2026-06-25,2026-06-25,2023,2026-07-13 07:00:00
88489e25c7fffff,50,45,79,4,16,59,-97.70815001990444,30.479420977259498,2026-06-25,2026-06-25,2023,2026-07-13 07:00:00
88489e3669fffff,50,45,29559,5510,8935,15114,-97.7822638865635,30.198717684009043,2026-06-25,2026-06-25,2023,2026-07-13 07:00:00
88489e3235fffff,50,45,3,0,1,2,-97.63564537586632,30.142015827013033,2026-06-25,2026-06-25,2023,2026-07-13 07:00:00
88489e363bfffff,50,45,4373,246,456,3671,-97.80564437466992,30.244266824810843,2026-06-25,2026-06-25,2023,2026-07-13 07:00:00
88489e360dfffff,50,45,35767,6009,9397,20361,-97.79345518162144,30.21378065937681,2026-06-25,2026-06-25,2023,2026-07-13 07:00:00
88489e31d9fffff,50,45,0,0,0,0,-97.614534753243,30.21228600655697,2026-06-25,2026-06-25,2023,2026-07-13 07:00:00
88489e20dbfffff,50,45,2227,248,479,1500,-97.6660314412382,30.380468808038525,2026-06-25,2026-06-25,2023,2026-07-13 07:00:00
88489e35b1fffff,50,45,138903,18470,28456,91977,-97.73091999687315,30.355068693034287,2026-06-25,2026-06-25,2023,2026-07-13 07:00:00
88489e24e1fffff,50,45,352,57,77,218,-97.75925311953108,30.477669286511695,2026-06-25,2026-06-25,2023,2026-07-13 07:00:00
88489e3583fffff,50,45,108465,14562,21943,71960,-97.74014342460886,30.339298204609253,2026-06-25,2026-06-25,2023,2026-07-13 07:00:00
88489e3555fffff,50,45,206944,20777,33622,152545,-97.7102025618047,30.27080236206449,2026-06-25,2026-06-25,2023,2026-07-13 07:00:00
88489e2485fffff,50,45,1719,417,502,800,-97.77046683389004,30.49272714801692,2026-06-25,2026-06-25,2023,2026-07-13 07:00:00
